ParticipantID,Gender,Age,Region,ProgramType,HealthKnowledgeScore,MonthlySavings,HouseholdSanitationScore,AttendedAllSessions,ReportedEmpowerment,SatisfactionRating
1,Male,36,Southern,Women's Economic Empowerment,,98.99,,Yes,No,8.7
2,Female,40,Central,Community Sanitation,,,3.3,No,Yes,4.9
3,Male,25,Central,Adolescent Health,37.1,,,No,Yes,6.9
4,Male,30,Southern,Women's Economic Empowerment,,111.33,,Yes,Yes,9.7
5,Male,15,Central,Adolescent Health,43.3,,,No,Yes,5.0
6,Male,18,Central,Women's Economic Empowerment,,160.62,,Yes,Yes,8.2
7,Male,32,Southern,Community Sanitation,,,1.1,No,No,4.5
8,Female,34,Central,Adolescent Health,54.1,,,Yes,Yes,7.7
9,Female,22,Central,Community Sanitation,,,2.0,No,No,3.4
10,Male,22,Northern,Community Sanitation,,,2.9,No,No,9.0
11,Female,38,Central,Women's Economic Empowerment,,66.25,,No,No,1.5
12,Female,36,Northern,Community Sanitation,,,3.5,Yes,No,5.1
13,Male,34,Southern,Community Sanitation,,,2.5,No,Yes,9.9
14,Female,37,Southern,Adolescent Health,65.5,,,No,Yes,2.3
15,Male,29,Southern,Adolescent Health,48.9,,,Yes,Yes,1.9
16,Female,44,Southern,Community Sanitation,,,3.0,Yes,Yes,4.0
17,Male,34,Central,Women's Economic Empowerment,,56.28,,No,No,2.2
18,Female,20,Central,Adolescent Health,61.5,,,Yes,Yes,7.1
19,Female,16,Central,Community Sanitation,,,1.1,No,Yes,6.5
20,Male,20,Southern,Adolescent Health,44.6,,,No,No,5.7
21,Male,24,Southern,Women's Economic Empowerment,,115.7,,Yes,No,9.7
22,Male,32,Southern,Women's Economic Empowerment,,34.22,,No,Yes,3.8
23,Female,18,Northern,Adolescent Health,58.4,,,No,Yes,5.0
24,Female,28,Central,Adolescent Health,55.7,,,Yes,Yes,5.2
25,Female,40,Southern,Community Sanitation,,,4.7,No,Yes,7.3
26,Male,16,Northern,Adolescent Health,64.4,,,Yes,Yes,3.0
27,Female,36,Southern,Community Sanitation,,,1.6,No,No,7.8
28,Male,44,Central,Community Sanitation,,,1.8,Yes,Yes,2.7
29,Male,21,Southern,Adolescent Health,51.4,,,Yes,Yes,9.8
30,Male,41,Northern,Women's Economic Empowerment,,120.15,,No,Yes,9.6
31,Male,44,Central,Community Sanitation,,,3.7,No,No,4.6
32,Female,32,Central,Community Sanitation,,,3.7,Yes,Yes,8.9
33,Female,36,Northern,Adolescent Health,64.9,,,No,No,4.5
34,Female,31,Northern,Adolescent Health,56.5,,,No,Yes,5.9
35,Male,38,Central,Women's Economic Empowerment,,111.39,,Yes,Yes,7.7
36,Male,31,Southern,Adolescent Health,51.3,,,No,Yes,7.8
37,Female,27,Central,Community Sanitation,,,2.0,Yes,Yes,9.0
38,Male,41,Central,Adolescent Health,65.0,,,Yes,Yes,5.2
39,Male,34,Northern,Community Sanitation,,,3.4,Yes,No,6.3
40,Female,31,Southern,Adolescent Health,44.9,,,No,Yes,6.1
41,Male,43,Central,Adolescent Health,55.8,,,No,Yes,5.6
42,Female,21,Southern,Adolescent Health,66.7,,,No,Yes,7.3
43,Male,17,Northern,Adolescent Health,51.8,,,No,Yes,3.3
44,Female,22,Southern,Women's Economic Empowerment,,58.46,,No,Yes,1.6
45,Female,25,Southern,Community Sanitation,,,4.3,Yes,Yes,5.7
46,Female,20,Central,Women's Economic Empowerment,,77.86,,Yes,Yes,4.9
47,Male,29,Central,Adolescent Health,62.8,,,No,No,5.7
48,Male,32,Northern,Women's Economic Empowerment,,74.41,,Yes,No,6.5
49,Male,15,Northern,Adolescent Health,74.4,,,Yes,Yes,4.3
50,Male,15,Central,Community Sanitation,,,3.7,No,Yes,3.8
51,Female,17,Central,Community Sanitation,,,4.8,Yes,Yes,7.1
52,Female,21,Northern,Women's Economic Empowerment,,110.73,,Yes,Yes,4.6
53,Male,20,Southern,Women's Economic Empowerment,,141.24,,Yes,No,8.5
54,Male,30,Northern,Community Sanitation,,,1.1,No,Yes,7.9
55,Female,44,Northern,Adolescent Health,59.5,,,Yes,No,9.1
56,Male,29,Southern,Adolescent Health,63.1,,,No,Yes,1.9
57,Female,44,Central,Community Sanitation,,,3.5,No,No,2.4
58,Male,43,Central,Women's Economic Empowerment,,123.6,,No,No,6.5
59,Male,24,Central,Adolescent Health,72.6,,,Yes,Yes,7.4
60,Female,32,Southern,Adolescent Health,46.9,,,No,Yes,2.9
61,Male,20,Southern,Community Sanitation,,,2.7,Yes,No,1.2
62,Female,34,Southern,Women's Economic Empowerment,,80.1,,Yes,Yes,8.8
63,Male,41,Central,Adolescent Health,66.0,,,No,No,8.0
64,Female,21,Northern,Women's Economic Empowerment,,94.52,,Yes,Yes,9.3
65,Male,19,Southern,Women's Economic Empowerment,,89.52,,Yes,Yes,3.6
66,Male,41,Southern,Women's Economic Empowerment,,144.11,,Yes,No,5.6
67,Male,22,Northern,Adolescent Health,52.8,,,Yes,Yes,7.5
68,Male,28,Southern,Women's Economic Empowerment,,66.34,,No,No,6.6
69,Female,32,Southern,Adolescent Health,60.2,,,No,No,1.1
70,Male,29,Central,Community Sanitation,,,2.4,No,No,5.6
71,Male,21,Northern,Adolescent Health,60.8,,,Yes,Yes,9.8
72,Female,15,Southern,Adolescent Health,53.3,,,No,Yes,3.1
73,Female,34,Central,Community Sanitation,,,3.5,Yes,Yes,5.1
74,Female,16,Central,Adolescent Health,64.8,,,No,Yes,8.3
75,Female,18,Northern,Adolescent Health,79.5,,,Yes,Yes,3.4
76,Male,15,Central,Community Sanitation,,,1.7,No,Yes,4.7
77,Male,23,Northern,Community Sanitation,,,4.2,No,No,7.2
78,Male,28,Northern,Adolescent Health,60.5,,,Yes,Yes,5.0
79,Male,20,Central,Adolescent Health,65.2,,,No,No,9.6
80,Female,32,Central,Adolescent Health,66.9,,,No,No,8.7
81,Female,35,Central,Community Sanitation,,,1.9,No,No,3.6
82,Male,34,Southern,Adolescent Health,73.4,,,Yes,Yes,1.0
83,Male,17,Central,Adolescent Health,61.0,,,Yes,Yes,5.8
84,Male,17,Central,Women's Economic Empowerment,,62.24,,No,No,8.7
85,Male,28,Southern,Women's Economic Empowerment,,67.49,,No,Yes,9.2
86,Female,15,Northern,Adolescent Health,67.3,,,Yes,Yes,2.1
87,Male,29,Northern,Community Sanitation,,,2.3,Yes,Yes,9.0
88,Female,17,Southern,Community Sanitation,,,4.3,Yes,No,5.5
89,Female,42,Southern,Adolescent Health,92.7,,,Yes,No,9.8
90,Male,41,Southern,Community Sanitation,,,1.5,No,No,8.2
91,Female,29,Central,Adolescent Health,60.7,,,No,Yes,2.5
92,Female,29,Southern,Adolescent Health,48.3,,,No,No,5.7
93,Female,15,Central,Community Sanitation,,,3.0,No,Yes,8.9
94,Male,33,Northern,Adolescent Health,53.9,,,Yes,No,8.3
95,Female,38,Central,Community Sanitation,,,3.9,Yes,Yes,9.7
96,Female,40,Northern,Women's Economic Empowerment,,111.44,,Yes,No,8.5
97,Female,15,Central,Adolescent Health,47.7,,,No,Yes,9.9
98,Male,18,Northern,Women's Economic Empowerment,,110.42,,No,Yes,5.7
99,Male,24,Central,Adolescent Health,68.0,,,Yes,Yes,6.4
100,Male,42,Southern,Community Sanitation,,,1.6,No,Yes,1.6
101,Female,38,Central,Women's Economic Empowerment,,85.41,,Yes,Yes,4.5
102,Male,30,Southern,Women's Economic Empowerment,,150.22,,No,No,3.8
103,Male,31,Northern,Women's Economic Empowerment,,128.84,,No,Yes,9.3
104,Female,25,Southern,Women's Economic Empowerment,,117.3,,No,No,4.0
105,Female,42,Northern,Community Sanitation,,,2.7,No,No,9.0
106,Female,29,Central,Adolescent Health,63.4,,,Yes,Yes,3.2
107,Male,30,Northern,Community Sanitation,,,4.3,No,No,6.2
108,Female,36,Southern,Women's Economic Empowerment,,44.7,,Yes,Yes,5.8
109,Female,42,Southern,Adolescent Health,68.3,,,Yes,Yes,1.9
110,Male,35,Northern,Women's Economic Empowerment,,118.83,,Yes,Yes,3.9
111,Male,21,Southern,Women's Economic Empowerment,,103.77,,Yes,Yes,9.9
112,Female,15,Central,Adolescent Health,54.1,,,Yes,No,6.4
113,Female,22,Northern,Women's Economic Empowerment,,112.3,,No,No,8.4
114,Male,28,Central,Women's Economic Empowerment,,101.57,,No,No,7.5
115,Female,44,Central,Community Sanitation,,,1.7,Yes,Yes,9.1
116,Female,39,Central,Women's Economic Empowerment,,139.63,,No,No,4.1
117,Female,39,Central,Women's Economic Empowerment,,96.57,,Yes,Yes,3.0
118,Female,42,Southern,Community Sanitation,,,4.8,No,No,1.6
119,Female,16,Southern,Women's Economic Empowerment,,68.24,,Yes,No,8.6
120,Female,31,Central,Community Sanitation,,,1.5,Yes,Yes,5.7
121,Female,41,Southern,Community Sanitation,,,4.5,Yes,No,7.5
122,Male,16,Central,Community Sanitation,,,2.8,No,Yes,1.6
123,Female,22,Southern,Adolescent Health,62.4,,,Yes,Yes,8.6
124,Female,20,Central,Women's Economic Empowerment,,97.75,,No,No,6.2
125,Female,34,Southern,Community Sanitation,,,3.0,Yes,Yes,2.1
126,Female,31,Central,Community Sanitation,,,2.8,Yes,Yes,5.5
127,Male,19,Central,Community Sanitation,,,3.9,No,Yes,6.4
128,Male,39,Central,Adolescent Health,79.2,,,No,No,4.1
129,Male,35,Central,Women's Economic Empowerment,,118.57,,Yes,Yes,7.4
130,Female,40,Southern,Women's Economic Empowerment,,93.05,,Yes,No,6.2
131,Female,34,Northern,Women's Economic Empowerment,,93.72,,No,Yes,8.6
132,Male,20,Southern,Community Sanitation,,,2.2,Yes,No,8.8
133,Male,32,Southern,Women's Economic Empowerment,,122.78,,No,Yes,1.6
134,Female,29,Northern,Community Sanitation,,,5.0,No,No,6.8
135,Female,39,Central,Women's Economic Empowerment,,155.06,,No,Yes,7.5
136,Male,15,Northern,Women's Economic Empowerment,,144.45,,Yes,Yes,2.3
137,Male,40,Southern,Women's Economic Empowerment,,119.38,,Yes,Yes,9.0
138,Male,43,Southern,Adolescent Health,62.9,,,No,No,8.7
139,Female,16,Central,Adolescent Health,70.5,,,No,Yes,2.3
140,Male,36,Northern,Women's Economic Empowerment,,134.52,,No,No,8.9
141,Female,43,Northern,Women's Economic Empowerment,,83.35,,No,No,6.8
142,Female,42,Southern,Women's Economic Empowerment,,108.22,,No,Yes,8.1
143,Male,43,Northern,Women's Economic Empowerment,,77.93,,Yes,Yes,8.2
144,Male,23,Southern,Community Sanitation,,,2.2,Yes,No,2.5
145,Female,23,Central,Adolescent Health,64.0,,,No,No,1.6
146,Male,35,Northern,Women's Economic Empowerment,,57.66,,Yes,Yes,6.7
147,Female,37,Central,Adolescent Health,58.6,,,Yes,No,4.0
148,Female,39,Central,Community Sanitation,,,5.0,Yes,Yes,3.3
149,Female,29,Central,Adolescent Health,64.9,,,Yes,Yes,2.2
150,Female,26,Central,Women's Economic Empowerment,,41.72,,Yes,No,8.7
151,Male,22,Southern,Women's Economic Empowerment,,87.19,,No,Yes,6.1
152,Female,40,Northern,Community Sanitation,,,4.9,No,No,8.5
153,Male,30,Northern,Women's Economic Empowerment,,172.03,,Yes,No,6.0
154,Female,44,Central,Women's Economic Empowerment,,112.89,,Yes,No,1.4
155,Male,27,Northern,Women's Economic Empowerment,,143.85,,No,Yes,3.0
156,Male,17,Central,Women's Economic Empowerment,,109.07,,Yes,No,8.4
157,Female,15,Northern,Women's Economic Empowerment,,110.82,,No,No,2.7
158,Female,15,Central,Adolescent Health,74.3,,,Yes,Yes,9.2
159,Male,24,Central,Community Sanitation,,,3.7,No,Yes,3.9
160,Female,24,Southern,Adolescent Health,57.9,,,Yes,Yes,4.8
161,Female,27,Northern,Women's Economic Empowerment,,113.11,,Yes,Yes,7.0
162,Female,25,Southern,Community Sanitation,,,4.3,Yes,Yes,8.2
163,Male,20,Southern,Community Sanitation,,,3.0,No,Yes,7.9
164,Female,18,Northern,Adolescent Health,78.4,,,Yes,Yes,8.3
165,Female,20,Southern,Community Sanitation,,,4.4,No,Yes,5.6
166,Female,20,Central,Adolescent Health,67.5,,,Yes,Yes,3.9
167,Female,33,Central,Women's Economic Empowerment,,146.42,,Yes,Yes,2.9
168,Male,17,Northern,Adolescent Health,69.9,,,Yes,No,9.6
169,Male,41,Central,Adolescent Health,55.2,,,No,No,6.2
170,Female,22,Northern,Adolescent Health,75.1,,,No,Yes,9.7
171,Female,34,Southern,Women's Economic Empowerment,,85.87,,No,Yes,5.4
172,Male,32,Central,Adolescent Health,42.6,,,Yes,Yes,4.4
173,Male,34,Southern,Community Sanitation,,,1.7,Yes,No,6.5
174,Female,44,Central,Adolescent Health,62.7,,,Yes,No,9.9
175,Male,24,Central,Community Sanitation,,,2.3,Yes,Yes,8.8
176,Male,34,Northern,Community Sanitation,,,1.5,Yes,No,4.7
177,Male,37,Northern,Women's Economic Empowerment,,145.88,,Yes,Yes,1.4
178,Female,29,Northern,Adolescent Health,75.1,,,Yes,No,4.7
179,Male,17,Northern,Adolescent Health,33.3,,,No,No,7.8
180,Female,34,Southern,Community Sanitation,,,3.8,No,Yes,1.0
181,Female,32,Northern,Community Sanitation,,,2.4,Yes,Yes,8.5
182,Male,40,Southern,Community Sanitation,,,3.3,Yes,No,3.3
183,Male,44,Central,Adolescent Health,74.6,,,No,No,4.3
184,Male,23,Southern,Women's Economic Empowerment,,65.17,,No,Yes,9.3
185,Female,31,Central,Adolescent Health,57.2,,,Yes,Yes,4.4
186,Male,33,Central,Community Sanitation,,,4.5,Yes,No,5.3
187,Male,18,Southern,Women's Economic Empowerment,,71.36,,No,Yes,5.0
188,Female,22,Northern,Women's Economic Empowerment,,77.09,,Yes,Yes,4.3
189,Male,41,Southern,Adolescent Health,58.1,,,No,No,1.7
190,Male,24,Southern,Adolescent Health,57.2,,,Yes,Yes,4.8
191,Female,42,Central,Community Sanitation,,,4.5,No,Yes,5.4
192,Male,25,Central,Women's Economic Empowerment,,76.94,,Yes,No,3.0
193,Male,33,Northern,Women's Economic Empowerment,,93.58,,No,Yes,8.4
194,Female,22,Northern,Adolescent Health,44.5,,,Yes,Yes,5.5
195,Male,24,Northern,Women's Economic Empowerment,,102.35,,No,No,3.1
196,Male,30,Central,Adolescent Health,70.7,,,No,No,1.9
197,Male,22,Northern,Women's Economic Empowerment,,108.0,,Yes,Yes,6.2
198,Male,32,Southern,Adolescent Health,65.4,,,No,No,5.3
199,Female,41,Southern,Community Sanitation,,,2.1,No,Yes,7.4
